x;y;kn;p;m;grainMass
0;0;58,9086;0;0;289,5595
0,0124;73,4994;59,4232;8,228;0,0701;289,0871
0,0192;74,1214;59,9378;8,2932;0,0698;288,6105
0,0261;74,6508;60,4525;8,3488;0,0703;288,1299
0,0329;75,1797;60,9671;8,4042;0,0708;287,6451
0,0398;75,7078;61,4817;8,4595;0,0712;287,1562
0,0466;76,2351;61,9963;8,5147;0,0717;286,6632
0,0535;76,7618;62,5109;8,5698;0,0722;286,1661
0,0604;77,2877;63,0256;8,6248;0,0726;285,6649
0,0673;77,8130;63,5402;8,6796;0,0731;285,1596
0,0742;78,3375;64,0548;8,7344;0,0735;284,6502
0,0811;78,8614;64,5694;8,7891;0,074;284,1366
0,0881;79,3846;65,084;8,8436;0,0745;283,619
0,095;79,9071;65,5986;8,8981;0,0749;283,0972
0,102;80,4289;66,1133;8,9524;0,0754;282,5714
0,1089;80,9501;66,6279;9,0067;0,0758;282,0414
0,1159;81,4706;67,1425;9,0608;0,0763;281,5073
0,1229;81,9905;67,6571;9,1149;0,0768;280,9691
0,1299;82,5097;68,1717;9,1688;0,0772;280,4268
0,137;83,0283;68,6864;9,2226;0,0777;279,8804
0,144;83,5462;69,201;9,2764;0,0781;279,3299
0,151;84,0635;69,7156;9,3301;0,0786;278,7752
0,1581;84,5801;70,2302;9,3836;0,079;278,2165
0,1652;85,0962;70,7448;9,4371;0,0795;277,6536
0,1722;85,6116;71,2594;9,4904;0,0799;277,0867
0,1793;86,1264;71,7741;9,5437;0,0804;276,5156
0,1864;86,6406;72,2887;9,5969;0,0808;275,9404
0,1935;87,1542;72,8033;9,65;0,0813;275,3611
0,2007;87,6672;73,3179;9,703;0,0817;274,7777
0,2078;88,1796;73,8325;9,7559;0,0822;274,1902
0,2149;88,6914;74,3471;9,8087;0,0826;273,5986
0,2221;89,2026;74,8618;9,8615;0,0831;273,0029
0,2293;89,7133;75,3764;9,9141;0,0835;272,4031
0,2364;90,2233;75,891;9,9667;0,0839;271,7991
0,2436;90,7328;76,4056;10,0192;0,0844;271,1911
0,2508;91,2417;76,9202;10,0716;0,0848;270,5789
0,258;91,7501;77,4349;10,1239;0,0853;269,9626
0,2653;92,2579;77,9495;10,1761;0,0857;269,3423
0,2725;92,7651;78,4641;10,2282;0,0862;268,7178
0,2797;93,2718;78,9787;10,2803;0,0866;268,0892
0,287;93,7779;79,4933;10,3323;0,087;267,4565
0,2943;94,2835;80,0079;10,3842;0,0875;266,8196
0,3015;94,7885;80,5226;10,436;0,0879;266,1787
0,3088;95,2931;81,0372;10,4877;0,0883;265,5337
0,3161;95,797;81,5518;10,5394;0,0888;264,8845
0,3234;96,3005;82,0664;10,5909;0,0892;264,2313
0,3307;96,8034;82,581;10,6424;0,0897;263,5739
0,3381;97,3058;83,0957;10,6939;0,0901;262,9124
0,3454;97,8076;83,6103;10,7452;0,0905;262,2469
0,3527;98,309;84,1249;10,7965;0,091;261,5772
0,3601;98,8098;84,6395;10,8477;0,0914;260,9034
0,3675;99,3102;85,1541;10,8988;0,0918;260,2255
0,3748;99,81;85,6687;10,9498;0,0922;259,5434
0,3822;100,3093;86,1834;11,0008;0,0927;258,8573
0,3896;100,8081;86,698;11,0517;0,0931;258,1671
0,397;101,3065;87,2126;11,1025;0,0935;257,4727
0,4044;101,8043;87,7272;11,1532;0,094;256,7743
0,4119;102,3017;88,2418;11,2039;0,0944;256,0717
0,4193;102,7985;88,7565;11,2545;0,0948;255,365
0,4267;103,2949;89,2711;11,3051;0,0952;254,6542
0,4342;103,7908;89,7857;11,3555;0,0957;253,9394
0,4416;104,2862;90,3003;11,4059;0,0961;253,2204
0,4491;104,7811;90,8149;11,4562;0,0965;252,4972
